7/8/2026,,,,,,,,,,,,,,,,,,,,,,,,,,,Growth Q/Q,,,,,,,,,,,,,,,,,,,Growth Y/Y,,,,,,,,,,,,,,,,,,,
Revenue,,,,,,,,,,,,,,,,,,,,,,,,,,,Revenue,,,,,,,,,,,,,,,,,,,Revenue,,,,,,,,,,,,,,,,,,,
Company ,Ticker,CQ42021,CQ12022,CQ22022,CQ32022,CQ42022,CQ12023,CQ22023,CQ32023,CQ42023,CQ12024,CQ22024,CQ32024,CQ42024,CQ12025,CQ22025,CQ32025,CQ42025,CQ12026,,CY2021,CY2022,CY2023,CY2024,CY2025,,,CQ12022,CQ22022,CQ32022,CQ42022,CQ12023,CQ22023,CQ32023,CQ42023,CQ12024,CQ22024,CQ32024,CQ42024,CQ12025,CQ22025,CQ32025,CQ42025,CQ12026,,,CQ42022,CQ12023,CQ22023,CQ32023,CQ42023,CQ12024,CQ22024,CQ32024,CQ42024,CQ12025,CQ22025,CQ32025,CQ42025,CQ12026,,CY2022,CY2023,CY2024,CY2025
IBM,NYSE:IBM,16695,14197,15535,14106,16691,14252,15475,14752,17380,14462,15771,14967,17553,14541,16977,16331,19686,15917,,57351,60530,61860,62753,67535,,,-15%,9%,-9%,18%,-15%,9%,-5%,18%,-17%,9%,-5%,17%,-17%,17%,-4%,21%,-19%,,,0%,0%,0%,5%,4%,1%,2%,1%,1%,1%,8%,9%,12%,9%,,6%,2%,1%,8%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cloud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alphabet (Google),NASDAQGS:GOOGL,75325,68011,69685,69092,76048,69787,74604,76693,86310,80539,84742,88268,96469,90234,96428,102346,113829,109896,,257637,282836,307394,350018,402836,,,-10%,2%,-1%,10%,-8%,7%,3%,13%,-7%,5%,4%,9%,-6%,7%,6%,11%,-3%,,,1%,3%,7%,11%,13%,15%,14%,15%,12%,12%,14%,16%,18%,22%,,10%,9%,14%,15%
Amazon,NASDAQGS:AMZN,137412,116444,121234,127101,149204,127358,134383,143083,169961,143313,147977,158877,187792,155667,167702,180169,213386,181519,,469822,513983,574785,637959,716924,,,-15%,4%,5%,17%,-15%,6%,6%,19%,-16%,3%,7%,18%,-17%,8%,7%,18%,-15%,,,9%,9%,11%,13%,14%,13%,10%,11%,10%,9%,13%,13%,14%,17%,,9%,12%,11%,12%
Microsoft,NASDAQGS:MSFT ,51728,49360,51865,50122,52747,52857,56189,56517,62020,61858,64727,65585,69632,70066,76441,77673,81273,82886,,184903,204094,227583,261802,305453,,,-5%,5%,-3%,5%,0%,6%,1%,10%,0%,5%,1%,6%,1%,9%,2%,5%,2%,,,2%,7%,8%,13%,18%,17%,15%,16%,12%,13%,18%,18%,17%,18%,,10%,12%,15%,17%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Software,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microsoft,NASDAQ:MSFT,51728,49360,51865,50122,52747,52857,56189,56517,62020,61858,64727,65585,69632,70066,76441,77673,81273,82886,,184903,204094,227583,261802,305453,,,-5%,5%,-3%,5%,0%,6%,1%,10%,0%,5%,1%,6%,1%,9%,2%,5%,2%,,,2%,7%,8%,13%,18%,17%,15%,16%,12%,13%,18%,18%,17%,18%,,10%,12%,15%,17%
Oracle,NYSE:ORCL,10360,10513,11840,11445,12275,12398,13836,12453,12941,13280,14287,13307,14059,14130,15903,14926,16058,17190,,41399,46073,51628,54933,61016,,,1%,13%,-3%,7%,1%,12%,-10%,4%,3%,8%,-7%,6%,1%,13%,-6%,8%,7%,,,18%,18%,17%,9%,5%,7%,3%,7%,9%,6%,11%,12%,14%,22%,,11%,12%,6%,11%
SAP,XTRA:SAP,9077,7524,7532,7333,8618,8086,8245,8196,9360,8675,8880,9447,9709,9742,10601,10649,11370,11017,,30653,31549,34494,35383,43208,,,-17%,0%,-3%,18%,-6%,2%,-1%,14%,-7%,2%,6%,3%,0%,9%,0%,7%,-3%,,,-5%,7%,9%,12%,9%,7%,8%,15%,4%,12%,19%,13%,17%,13%,,3%,9%,3%,22%
Broadcom,NASDAQGS:AVGO,7706,8103,8464,8930,8915,8733,8876,9295,11961,12487,13072,14054,14916,15004,15952,18015,19311,22187,,28501,34412,38865,54529,68282,,,5%,4%,6%,0%,-2%,2%,5%,29%,4%,5%,8%,6%,1%,6%,13%,7%,15%,,,16%,8%,5%,4%,34%,43%,47%,51%,25%,20%,22%,28%,29%,48%,,21%,13%,40%,25%
Cisco,NASDAQ:CSCO,12720,12835,13102,13632,13592,14571,15203,14668,12791,12702,13642,13841,13991,14149,14673,14883,15349,15841,,51549,53161,57233,54176,59054,,,1%,2%,4%,0%,7%,4%,-4%,-13%,-1%,7%,1%,1%,1%,4%,1%,3%,3%,,,7%,14%,16%,8%,-6%,-13%,-10%,-6%,9%,11%,8%,8%,10%,12%,,3%,8%,-5%,9%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Services/Consulting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accenture,NYSE:ACN,14965,15047,16159,15424,15748,15814,16565,15985,16224,15800,16467,16406,17690,16659,17728,17596,18742,18044,,53736,62377,64588,66362,70726,,,1%,7%,-5%,2%,0%,5%,-3%,1%,-3%,4%,0%,8%,-6%,6%,-1%,7%,-4%,,,5%,5%,3%,4%,3%,0%,-1%,3%,9%,5%,8%,7%,6%,8%,,16%,4%,3%,7%
Infosys,NYSE:INFY,4250,4280,4444,4555,4659,4555,4617,4718,4663,4565,4714,4894,4939,4730,4941,5076,5099,5041,,15644,17937,18552,19112,19847,,,1%,4%,2%,2%,-2%,1%,2%,-1%,-2%,3%,4%,1%,-4%,4%,3%,0%,-1%,,,10%,6%,4%,4%,0%,0%,2%,4%,6%,4%,5%,4%,3%,7%,,15%,3%,3%,4%
TCS,NSEI:TCS,6561,6666,6677,6797,7036,7204,7236,7185,7278,7350,7511,7670,7475,7546,7397,7407,7466,7540,,24812,26207,28691,29456,29024,,,2%,0%,2%,4%,2%,0%,-1%,1%,1%,2%,2%,-3%,1%,-2%,0%,1%,1%,,,7%,8%,8%,6%,3%,2%,4%,7%,3%,3%,-2%,-3%,0%,0%,,6%,9%,3%,-1%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Infrastructure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP Enterprise,NYSE:HPE,6961,6713,6951,7871,7809,6973,7002,7351,6755,7204,7710,8458,7854,7627,9136,9679,9301,10678,,27912,29344,28081,31226,35743,,,-4%,4%,13%,-1%,-11%,0%,5%,-8%,7%,7%,10%,-7%,-3%,20%,6%,-4%,15%,,,12%,4%,1%,-7%,-13%,3%,10%,15%,16%,6%,18%,14%,18%,40%,,5%,-4%,11%,14%
Dell,NYSE:DELL,27992,26116,26425,24721,25039,20922,22934,22251,22318,22244,25026,24366,23931,23378,29776,27005,33379,43842,,101197,102301,88425,95567,113538,,,-7%,1%,-6%,1%,-16%,10%,-3%,0%,0%,13%,-3%,-2%,-2%,27%,-9%,24%,31%,,,-11%,-20%,-13%,-10%,-11%,6%,9%,10%,7%,5%,19%,11%,39%,88%,,1%,-14%,8%,19%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Growth Y/Y,,,,,,,,,,,,,,,,,,,
EV/EBITDA,,12/31/2021,3/31/2022,6/30/2022,9/30/2022,12/31/2022,3/31/2023,6/30/2023,9/30/2023,12/31/2023,3/31/2024,6/30/2024,9/30/2024,12/31/2024,3/31/2025,6/30/2025,9/30/2025,12/31/2025,3/31/2026,,12/31/2021,12/31/2022,12/31/2023,,12/31/2024,,,,,,,,,,,,,,,,,,,,,EV/EBITDA,,,,,,,,,,,,,,,,,,,
Company ,Ticker,CQ42021,CQ12022,CQ22022,CQ32022,CQ42022,CQ12023,CQ22023,CQ32023,CQ42023,CQ12024,CQ22024,CQ32024,CQ42024,CQ12025,CQ22025,CQ32025,CQ42025,CQ12026,,CY2021,CY2022,CY2023,CY2024,CY2025,,Growth Q/Q,CQ12022,CQ22022,CQ32022,CQ42022,CQ12023,CQ22023,CQ32023,CQ42023,CQ12024,CQ22024,CQ32024,CQ42024,CQ12025,CQ22025,CQ32025,CQ42025,CQ12026,,,CQ42022,CQ12023,CQ22023,CQ32023,CQ42023,CQ12024,CQ22024,CQ32024,CQ42024,CQ12025,CQ22025,CQ32025,CQ42025,CQ12026,,CY2022,CY2023,CY2024,CY2025
IBM,NYSE:IBM,9.6,9.8,10.6,9.2,11,10.4,10.7,10.9,12.8,13.9,12.4,15.3,14.4,16,18.1,17,17.1,13.9,,9.6,11,12.8,14.4,17.1,,EV/EBITDA,2%,8%,-13%,19%,-5%,2%,2%,18%,8%,-11%,23%,-6%,12%,13%,-6%,1%,-19%,,,14%,7%,1%,18%,17%,33%,16%,40%,12%,15%,46%,11%,19%,-13%,,14%,17%,12%,19%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cloud,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alphabet (Google),NASDAQGS:GOOGL,15.6,14.2,10.8,9.7,9.4,10.8,12,12,12.3,12.8,14.5,12.6,13.7,10.6,11.7,15.1,18.2,15.7,,15.6,9.4,12.3,13.7,18.2,,,-9%,-24%,-10%,-3%,15%,12%,0%,2%,5%,13%,-13%,9%,-22%,10%,29%,21%,-14%,,,-40%,-24%,11%,24%,31%,20%,20%,5%,11%,-18%,-19%,20%,33%,48%,,-40%,31%,11%,33%
Amazon,NASDAQGS:AMZN,22.7,20.4,15,15.5,12.5,13.5,15.7,13.3,14,14.6,14.7,13.8,15,12.3,14.3,13.3,13,10.9,,22.7,12.5,14,15,13,,,-10%,-26%,3%,-19%,8%,16%,-15%,5%,4%,1%,-6%,9%,-18%,16%,-7%,-2%,-16%,,,-45%,-34%,4%,-14%,12%,8%,-6%,4%,7%,-16%,-3%,-4%,-13%,-11%,,-45%,12%,7%,-13%
Microsoft,NASDAQGS:MSFT ,24.8,21.4,17.4,15.7,16.6,20,22.1,19.8,21.9,23.1,23.4,21.9,20.5,17.5,21.6,20.3,17.6,13.1,,24.8,16.6,21.9,20.5,17.6,,,-14%,-19%,-10%,6%,20%,11%,-11%,11%,5%,1%,-7%,-6%,-14%,23%,-6%,-13%,-25%,,,-33%,-7%,27%,26%,32%,16%,6%,11%,-7%,-24%,-8%,-7%,-14%,-25%,,-33%,32%,-7%,-14%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Software,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Microsoft,NASDAQ:MSFT,24.8,21.4,17.4,15.7,16.6,20,22.1,19.8,21.9,23.1,23.4,21.9,20.5,17.5,21.6,20.3,17.6,13.1,,24.8,16.6,21.9,20.5,17.6,,,-14%,-19%,-10%,6%,20%,11%,-11%,11%,5%,1%,-7%,-6%,-14%,23%,-6%,-13%,-25%,,,-33%,-7%,27%,26%,32%,16%,6%,11%,-7%,-24%,-8%,-7%,-14%,-25%,,-33%,32%,-7%,-14%
Oracle,NYSE:ORCL,14.2,12.7,10.5,11.1,13,13.1,15.1,12.9,13.1,14.6,15.6,18.2,17.1,14.7,20.5,24.3,16.6,12.6,,14.2,13,13.1,17.1,16.6,,,-10%,-18%,6%,17%,1%,15%,-15%,2%,11%,7%,17%,-6%,-14%,39%,18%,-32%,-24%,,,-9%,3%,44%,16%,1%,11%,4%,42%,31%,1%,32%,33%,-3%,-15%,,-9%,1%,31%,-3%
SAP,XTRA:SAP,16.2,12.7,11,10.8,11.3,13.5,14.6,13.4,18.2,23,22.8,24,25.3,23.9,25.5,22.5,19.5,12.9,,16.2,11.3,18.2,25.3,19.5,,,-21%,-13%,-2%,4%,20%,8%,-8%,35%,27%,-1%,5%,6%,-6%,7%,-12%,-14%,-34%,,,-30%,6%,32%,24%,61%,70%,56%,78%,39%,4%,12%,-6%,-23%,-46%,,-30%,61%,39%,-23%
Broadcom,NASDAQGS:AVGO,16.1,14,10.4,9.6,11.9,12.8,16.6,15.4,18.6,21.2,23.2,23.2,28.4,19.7,29.9,31.2,26.4,18.5,,16.1,11.9,18.6,28.4,26.4,,,-13%,-26%,-8%,24%,8%,29%,-7%,21%,14%,9%,0%,22%,-31%,52%,4%,-15%,-30%,,,-27%,-9%,59%,61%,57%,65%,40%,51%,53%,-7%,29%,34%,-7%,-6%,,-27%,57%,53%,-7%
Cisco,NASDAQ:CSCO,12.9,11,8.8,7.9,9.4,9.5,9.1,9.5,9.7,9.7,10.3,11,11.9,12.1,13,12.7,13.4,13.4,,12.9,9.4,9.7,11.9,13.4,,,-15%,-20%,-10%,18%,1%,-4%,4%,2%,0%,6%,7%,8%,2%,7%,-2%,6%,0%,,,-28%,-14%,4%,20%,4%,3%,13%,16%,22%,25%,26%,15%,12%,10%,,-28%,4%,22%,12%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Services/Consulting,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Accenture,NYSE:ACN,22.5,17.5,14.1,13.4,13.5,14.6,15.4,15,16.9,17,14.8,16.5,16.4,14.7,13.5,10.8,10.8,8.4,,22.5,13.5,16.9,16.4,10.8,,,-22%,-19%,-5%,1%,8%,5%,-2%,13%,0%,-13%,11%,-1%,-11%,-8%,-21%,1%,-23%,,,-40%,-16%,9%,12%,25%,16%,-4%,10%,-3%,-14%,-9%,-35%,-34%,-43%,,-40%,25%,-3%,-34%
Infosys,NYSE:INFY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TCS,NSEI:TCS,24.6,22.8,19.3,18,18.5,17.2,17.9,19.2,20,19.6,19.3,20.7,19.8,17.5,17,14.2,15.3,10.5,,24.6,18.5,20,19.8,15.3,,,-7%,-16%,-7%,3%,-7%,4%,7%,4%,-2%,-1%,7%,-4%,-12%,-3%,-17%,8%,-31%,,,-25%,-25%,-7%,7%,8%,14%,8%,8%,-1%,-11%,-12%,-32%,-23%,-40%,,-25%,8%,-1%,-23%
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Infrastructure,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HP Enterprise,NYSE:HPE,5.9,5.9,5.3,4.9,5.7,5.9,6.2,6.1,5.7,5.9,6.3,6,5.6,4.8,6,7.5,7.5,7,,5.9,5.7,5.7,5.6,7.5,,,0%,-11%,-7%,17%,4%,5%,-2%,-7%,3%,8%,-4%,-7%,-15%,26%,25%,-1%,-7%,,,-3%,0%,19%,25%,-1%,-1%,1%,-1%,-1%,-19%,-5%,25%,33%,46%,,-3%,-1%,-1%,33%
Dell,NYSE:DELL,7.3,5.7,5.2,4.6,5.4,5.5,6.7,7.3,7.2,9.2,10.4,8.8,8.4,7.1,8.7,9.4,8.1,8.6,,7.3,5.4,7.2,8.4,8.1,,,-22%,-8%,-13%,18%,1%,23%,9%,-1%,27%,13%,-15%,-5%,-15%,22%,9%,-15%,7%,,,-26%,-4%,28%,59%,33%,68%,54%,21%,16%,-22%,-16%,7%,-4%,21%,,-26%,33%,16%,-4%
