indexKey,indexName,sourceFile,period,quarter,date,indexLevel,periodTotalReturn,periodTotalReturnPct,cumulativeTotalReturnFromQ3_21,cumulativeTotalReturnPctFromQ3_21
sandp_technology_hardware_select_industry_index_tr,S&P Technology Hardware Select Industry Index (TR),PerformanceGraphExport.xls,Q4'21,Q4'21,12/31/2021,2912,0.050558,5.06,0.050558,5.06
sandp_technology_hardware_select_industry_index_tr,S&P Technology Hardware Select Industry Index (TR),PerformanceGraphExport.xls,Q1'22,Q1'22,3/31/2022,2581.87,-0.113369,-11.34,-0.068542,-6.85
sandp_technology_hardware_select_industry_index_tr,S&P Technology Hardware Select Industry Index (TR),PerformanceGraphExport.xls,Q2'22,Q2'22,6/30/2022,2021.86,-0.216901,-21.69,-0.270576,-27.06
sandp_technology_hardware_select_industry_index_tr,S&P Technology Hardware Select Industry Index (TR),PerformanceGraphExport.xls,Q3'22,Q3'22,9/30/2022,1881.11,-0.069614,-6.96,-0.321355,-32.14
sandp_technology_hardware_select_industry_index_tr,S&P Technology Hardware Select Industry Index (TR),PerformanceGraphExport.xls,Q4'22,Q4'22,12/30/2022,1976.84,0.05089,5.09,-0.286818,-28.68
sandp_technology_hardware_select_industry_index_tr,S&P Technology Hardware Select Industry Index (TR),PerformanceGraphExport.xls,Q1'23,Q1'23,3/31/2023,2320.56,0.173873,17.39,-0.162815,-16.28
sandp_technology_hardware_select_industry_index_tr,S&P Technology Hardware Select Industry Index (TR),PerformanceGraphExport.xls,Q2'23,Q2'23,6/30/2023,2729.73,0.176324,17.63,-0.015199,-1.52
sandp_technology_hardware_select_industry_index_tr,S&P Technology Hardware Select Industry Index (TR),PerformanceGraphExport.xls,Q3'23,Q3'23,9/29/2023,2537.02,-0.070597,-7.06,-0.084723,-8.47
sandp_technology_hardware_select_industry_index_tr,S&P Technology Hardware Select Industry Index (TR),PerformanceGraphExport.xls,Q4'23,Q4'23,12/29/2023,2827.43,0.114469,11.45,0.020048,2
sandp_technology_hardware_select_industry_index_tr,S&P Technology Hardware Select Industry Index (TR),PerformanceGraphExport.xls,Q1'24,Q1'24,3/28/2024,3310.02,0.170682,17.07,0.194151,19.42
sandp_technology_hardware_select_industry_index_tr,S&P Technology Hardware Select Industry Index (TR),PerformanceGraphExport.xls,Q2'24,Q2'24,6/28/2024,3391.49,0.024613,2.46,0.223543,22.35
sandp_technology_hardware_select_industry_index_tr,S&P Technology Hardware Select Industry Index (TR),PerformanceGraphExport.xls,Q3'24,Q3'24,9/30/2024,3405.36,0.00409,0.41,0.228547,22.85
sandp_technology_hardware_select_industry_index_tr,S&P Technology Hardware Select Industry Index (TR),PerformanceGraphExport.xls,Q4'24,Q4'24,12/31/2024,3858.72,0.133131,13.31,0.392105,39.21
sandp_technology_hardware_select_industry_index_tr,S&P Technology Hardware Select Industry Index (TR),PerformanceGraphExport.xls,Q1'25,Q1'25,3/31/2025,3259.64,-0.155254,-15.53,0.175976,17.6
sandp_technology_hardware_select_industry_index_tr,S&P Technology Hardware Select Industry Index (TR),PerformanceGraphExport.xls,Q2'25,Q2'25,6/30/2025,4092.93,0.255639,25.56,0.476601,47.66
sandp_technology_hardware_select_industry_index_tr,S&P Technology Hardware Select Industry Index (TR),PerformanceGraphExport.xls,Q3'25,Q3'25,9/30/2025,4835.68,0.181471,18.15,0.744561,74.46
