year,operatingCashFlow,capitalExpenditure,proceedsFromDisposals,freeCashFlow,ocfSource,capexSource,fcfSource,note
1995,10708,4744,1561,7525,cash-flow-statement,cash-flow-statement,derived(ocf-net-capex),
1996,10275,5883,1314,5706,cash-flow-statement,cash-flow-statement,derived(ocf-net-capex),
1997,8865,6793,1130,3202,cash-flow-statement,cash-flow-statement,derived(ocf-net-capex),
1998,9273,6520,905,3658,cash-flow-statement,cash-flow-statement,derived(ocf-net-capex),
1999,10111,5959,1207,5359,cash-flow-statement,cash-flow-statement,derived(ocf-net-capex),
2000,9274,5616,1619,5277,cash-flow-statement,cash-flow-statement,derived(ocf-net-capex),
2001,14265,5660,1165,9770,cash-flow-statement,cash-flow-statement,derived(ocf-net-capex),
2002,13788,4753,775,9810,highlights-table,cash-flow-statement,derived(ocf-net-capex),
2003,14569,4393,1039,8700,highlights-table,plant-label,md&a-stated-override,
2004,15406,4368,1311,9100,highlights-table,cash-flow-statement,md&a-stated-override,
2005,14914,3500,,9600,cashflow-stmt-override,prose-billions,md&a-stated-override,
2006,15019,4700,,10500,cashflow-stmt-override,prose-billions,md&a-stated-override,
2007,16094,4968,,12400,highlights-table,highlights-table,md&a-stated-override,
2008,18812,4536,,14300,highlights-table,highlights-table,md&a-stated-override,
2009,20773,3747,,15100,highlights-table,highlights-table,md&a-stated-override,
2010,19549,3984,,16300,highlights-table,highlights-table,md&a-stated-override,
2011,19846,4059,,16604,highlights-table,highlights-table,md&a-exact,
2012,19586,4307,,18200,highlights-table,highlights-table,explicit-billions,
2013,17485,3768,,15021,highlights-table,highlights-table,md&a-exact,
2014,16900,3779,,12372,prose-ops-billions,highlights-table,derived-from-2015-yoy-delta,
2015,17008,3780,,13075,highlights-table,highlights-table,md&a-exact,
2016,16958,3726,,11574,highlights-table,highlights-table,md&a-exact,
2017,16700,3312,,12992,prose-ops-billions,highlights-table,md&a-exact,
2018,15200,3716,,11876,prose-ops-billions,highlights-table,md&a-exact,
2019,14800,2370,,11909,prose-billions,highlights-table,md&a-stated-override,
2020,18197,3042,,10805,highlights-table,highlights-table,md&a-stated-override,
2021,12796,,,6500,highlights-table,,prose-md&a,
2022,10435,,,9300,highlights-table,,explicit-billions,
2023,13931,,,11200,highlights-table,,explicit-billions,
2024,13400,,,12700,prose-ops-billions,,prose-md&a,
2025,13193,,,14700,highlights-table,,prose-md&a,
