year,marketCapUSDMillions,marketCapSource,yearEndStockPriceUSD,stockPriceSource
1984,72000,external market data (not from filings),,
1985,91000,external market data (not from filings),,
1986,70000,external market data (not from filings),,
1987,66000,external market data (not from filings),,
1988,69000,external market data (not from filings),,
1989,52000,external market data (not from filings),,
1990,62000,external market data (not from filings),,
1991,49000,external market data (not from filings),,
1992,28000,external market data (not from filings),,
1993,31000,external market data (not from filings),,
1994,41000,external market data (not from filings),,
1995,48000,external market data (not from filings),,
1996,76950,external market data (not from filings),,
1997,100240,external market data (not from filings),,
1998,168870,external market data (not from filings),,
1999,192470,external market data (not from filings),,
2000,148140,external market data (not from filings),,
2001,208438,IBM Financial Highlights table,120.96,IBM Financial Highlights table
2002,133483,IBM Financial Highlights table,77.5,IBM Financial Highlights table
2003,157047,IBM Financial Highlights table,92.68,IBM Financial Highlights table
2004,162223,IBM Financial Highlights table,98.58,IBM Financial Highlights table
2005,129381,IBM Financial Highlights table,82.2,IBM Financial Highlights table
2006,146355,IBM Financial Highlights table,97.15,IBM Financial Highlights table
2007,149744,IBM Financial Highlights table,108.1,IBM Financial Highlights table
2008,112698,IBM Financial Highlights table,84.16,IBM Financial Highlights table
2009,170869,IBM Financial Highlights table,130.9,IBM Financial Highlights table
2010,180220,IBM Financial Highlights table,146.76,IBM Financial Highlights table
2011,213886,IBM Financial Highlights table,183.88,IBM Financial Highlights table
2012,214032,IBM Financial Highlights table,191.55,IBM Financial Highlights table
2013,197772,IBM Financial Highlights table,187.57,IBM Financial Highlights table
2014,158920,IBM Financial Highlights table,160.44,IBM Financial Highlights table
2015,133507,IBM Financial Highlights table,137.62,IBM Financial Highlights table
2016,157832,IBM Financial Highlights table,165.99,IBM Financial Highlights table
2017,142030,external market data (not from filings),153.42,IBM Financial Highlights table
2018,103300,external market data (not from filings),113.67,IBM Financial Highlights table
2019,118710,external market data (not from filings),134.04,IBM Financial Highlights table
2020,112170,external market data (not from filings),125.88,IBM Financial Highlights table
2021,119870,external market data (not from filings),,
2022,127380,external market data (not from filings),,
2023,149340,external market data (not from filings),,
2024,203260,external market data (not from filings),,
2025,276880,external market data (not from filings),,
