year,revenue,netIncome,grossProfit,rdExpense,totalAssets,stockholdersEquity,epsDiluted,dividendsPerShare,employees,basis,flags
1911,,0.951,,,,,,,,"netIncome=net earnings of constituent companies, yr ended Apr 30 1911, before interest (CTR incorporated Jun 1911)",
1912,,0.541,,,,,,,,"netIncome=derived: 1913 net earnings less stated $93,769 YoY increase; approximate",
1913,,0.635,,,,,,,,"netIncome=net earnings = dividends $313,719 + $320,975 added to surplus",
1914,,0.49,,,,,,,,"netIncome=net earnings for year = balance carried to surplus $489,861.59 (no common/pref dividend deducted in 1914)",
1915,,0.691,,,,,,,,"netIncome=net profit for year (CTR, pre-tax era)",
1916,,1.207,,,,,,,,netIncome=net profit for year,
1917,,1.568,,,,,,,,netIncome=net profit for year (pre WWII excess-profits tax),
1918,,1.788,,,,,,,,netIncome=net profit for year,
1919,,2.127,,,,,,,,netIncome=net profit for year,
1920,,1.882,,,,,,,,netIncome=net income for year,
1921,,1.047,,,,,,,,netIncome=net income for year,
1922,,1.632,,,,,,,,netIncome=net income for year,
1923,,2.161,,,,,,,,netIncome=net income for year,
1924,,2.426,,,,,,,,netIncome=net income for year,
1925,,3.204,,,,,,,,netIncome=net income for year,
1926,,4.216,,,,,,,,netIncome=net income for year (incl. foreign subs),
1927,,4.935,,,,,,,,netIncome=net income for year (incl. foreign subs),
1928,,5.939,,,,,,,,"netIncome=net income for year, pre federal tax ($0.575M tax); after-tax ~5.364",
1929,,6.706,,,,,,,,netIncome=net income after federal taxes,
1930,,7.336,,,,,,,,"netIncome=net income after federal taxes (derived from $11.50/sh x 637,954 sh; pre-tax $8.158M)",
1931,,7.423,,,,,,,,netIncome=net income after federal taxes,
1932,,6.378,,,,,,,,netIncome=net income after federal taxes,
1933,,5.736,,,,,,,,netIncome=net income after federal taxes,
1934,,6.597,,,,,,,,netIncome=net profit for the year (incl. foreign subs),
1935,,7.091,,,,,,,,netIncome=net income for the year (incl. foreign subs),
1936,,7.553,,,,,,,,netIncome=net income for the year,
1937,,8.083,,,,,,,,netIncome=net profit after estimated federal taxes ($10.413M pre-tax less $2.330M taxes); approximate,
1938,,8.66,,,,,,,,netIncome=net profit for the year,
1939,,9.093,,,,,,,,netIncome=net profit for the year,
1940,44.882,9.431,,,,,,,,"revenue=US gross income from sales, service & rentals; netIncome=net income for the year after US federal income taxes",
1941,60.487,9.845,,,,,,,,"revenue=US gross income from sales, service & rentals; netIncome=net income for the year after US federal income taxes",
1942,85.716,8.319,,,,,,,,"revenue=US gross income from sales, service & rentals; netIncome=net income for the year after US federal income taxes (WWII excess-profits taxes)",
1943,131.272,9.205,,,,,,,,"revenue=US gross income from sales, service & rentals; netIncome=net income for the year after taxes (NOT the $36.97M pre-tax figure)",
1944,139.665,9.711,,,,,,,,"revenue=US gross income from sales, service & rentals; netIncome=net income for the year after taxes",
1945,138.166,10.894,,,,,,,,"revenue=US gross income from sales, service & rentals; netIncome=net income for the year after taxes",
1946,115.645,18.766,,,,,,,,"revenue=US gross income from sales, service & rentals; netIncome=net income for the year after taxes",
1947,139.404,23.554,,,,,,,,"revenue=US gross income from sales, service & rentals; netIncome=net income for the year after taxes",
1948,156.398,28.101,,,,,,,,"revenue=US gross income from sales, service & rentals; netIncome=net income for the year after taxes",
1949,183.465,33.277,,,,,,,,"revenue=US gross income from sales, service & rentals; netIncome=net income for the year after taxes",
1950,214.917,33.301,,,,,,,,"revenue=US domestic gross income; netIncome=US domestic, after tax",
1951,266.798,27.892,,,,,,,,"revenue=US domestic gross income; netIncome=US domestic, after tax",
1952,333.728,29.875,,,,,,,,"revenue=US domestic gross income; netIncome=US domestic, after tax",
1953,409.989,34.119,,,,,,,,"revenue=US domestic gross income; netIncome=US domestic, after tax",
1954,461.35,46.537,,,,,,,,"revenue=US domestic gross income; netIncome=US domestic, after tax",
1955,563.549,55.873,,,,,,,,"revenue=US domestic gross income; netIncome=US domestic, after tax",
1956,734.34,68.785,,,,,,,,"revenue=US domestic gross income; netIncome=US domestic, after tax",
1957,1000.432,89.292,,,,,,,60281.0,"revenue=US domestic gross income; netIncome=US domestic, after tax",
1958,1171.788,126.192,,,,,,,61159.0,"revenue=US domestic gross income; netIncome=US domestic, after tax",
1959,1309.788,145.633,,,,,,,,"revenue=US domestic gross income; netIncome=US domestic, after tax",
1960,1816.888,204.916,,,,,,,,revenue=worldwide consolidated gross income; netIncome=worldwide consolidated net earnings,
1961,2202.465,254.119,,,,,,,,revenue=worldwide consolidated gross income; netIncome=worldwide consolidated net earnings,
1962,2591.269,304.726,,,,,,,,revenue=worldwide consolidated gross income; netIncome=worldwide consolidated net earnings,
1963,2862.733,364.255,,,,,,,,revenue=worldwide consolidated gross income; netIncome=worldwide consolidated net earnings,
1964,3239.36,431.16,,,,,,,,revenue=worldwide consolidated gross income; netIncome=worldwide consolidated net earnings,
1965,3572.825,476.902,,,,,,,,revenue=worldwide consolidated gross income; netIncome=worldwide consolidated net earnings,
1966,4247.706,526.13,,,,,,,,revenue=worldwide consolidated gross income; netIncome=worldwide consolidated net earnings,netIncome:anchor_overrode_md(651.0->526.13)
1967,5545.291,651.5,,,,,,,,revenue=worldwide consolidated gross income; netIncome=worldwide consolidated net earnings,
1968,6888.549,871.498,,,,,,,,revenue=worldwide consolidated gross income; netIncome=worldwide consolidated net earnings,
1969,7197.295,933.873,,,,,,,269291.0,revenue=worldwide consolidated gross income; netIncome=worldwide consolidated net earnings,netIncome:anchor_overrode_md(1017.0->933.873)
1970,7503.96,1017.521,,,,,7.13,,,revenue=worldwide consolidated total gross income; netIncome=worldwide net earnings,
1971,8273.603,1078.847,,,,,7.5,,,revenue=worldwide consolidated total gross income; netIncome=worldwide net earnings,
1972,9532.593,1279.268,,,,,8.83,,274108.0,revenue=worldwide consolidated total gross income; netIncome=worldwide net earnings,
1973,10993.242,1575.467,,,,,10.79,,292350.0,revenue=worldwide consolidated total gross income; netIncome=worldwide net earnings,
1974,12675.292,1837.639,,,,,12.47,,288647.0,revenue=worldwide consolidated total gross income; netIncome=worldwide net earnings,
1975,14437,1989.877,,,,,,,131709.0,revenue=worldwide consolidated gross income; netIncome=worldwide net earnings after tax,
1976,16304,2398,,,,,,,133597.0,revenue=worldwide consolidated gross income; netIncome=worldwide net earnings after tax,revenue:anchor_overrode_md(20789.0->16304)
1977,18133.184,2719.414,,,,,18.3,,133212.0,revenue=worldwide consolidated total gross income; netIncome=worldwide net earnings,
1978,21076.089,3110.568,,,20771.0,12618.0,21.29,,,revenue=worldwide consolidated total gross income; netIncome=worldwide net earnings,"netIncome:disagree:2719.0vs[355.0, 1612.0]|revenue:anchor_overrode_md(23449.0->21076.089)|netIncome:anchor_overrode_md(2719.0->3110.568)"
1979,22863,3011,,,24530.0,14961.0,,,,revenue=worldwide consolidated gross income; netIncome=worldwide net earnings,"revenue:disagree:30403.0vs[26213.0]|netIncome:disagree:301.0vs[3562.0, 172.5]|stockholdersEquity:disagree:14961.0vs[13494.0, 16453.0]|revenue:anchor_overrode_md(30403.0->22863)|netIncome:anchor_overrode_md(301.0->3011)"
1980,26213,3397,,,26831,16578,5.82,3.44,146.973,revenue=worldwide consolidated gross income; netIncome=net earnings,"revenue:disagree:33043.0vs[31694.0, 13787.0, 29070.0]|netIncome:disagree:3397.0vs[3562.0, 3688.0, 3308.0]|totalAssets:disagree:26831.0vs[2683.0]|revenue:anchor_overrode_md(33043.0->26213)"
1981,29070,3610,,,29107,17676,6.14,3.44,149.794,revenue=worldwide consolidated gross income (reclassified to 1984 basis); netIncome=net earnings,"revenue:disagree:13982.0vs[34384.0, 33199.0]|netIncome:disagree:1541.0vs[9867.0, 3861.0]|stockholdersEquity:disagree:17676.0vs[16453.0]|dividendsPerShare:disagree:4.0vs[3.0]|revenue:anchor_overrode_md(13982.0->29070)|netIncome:anchor_overrode_md(1541.0->3610)"
1982,34364,4409,,,32541,19960,7.39,3.44,150444.0,revenue=worldwide consolidated gross income (reclassified to 1984 basis); netIncome=net earnings,"revenue:disagree:34364.0vs[38298.0, 36979.0, 35469.0]|netIncome:disagree:4409.0vs[1649.0]"
1983,40180,5485,,,37461,23219,9.04,3.71,150944.0,revenue=worldwide consolidated gross income; netIncome=net earnings,"revenue:disagree:40180.0vs[17053.0, 43385.0]|netIncome:disagree:5485.0vs[3296.0]|totalAssets:disagree:37243.0vs[37461.0, 137461.0]|dividendsPerShare:disagree:4.0vs[3.0]"
1984,45937,6582,,,42808,26489,10.77,4.1,156042.0,revenue=worldwide consolidated gross income; netIncome=net earnings,"revenue:disagree:18566.0vs[45937.0, 4821.0, 47576.0]|netIncome:disagree:6582.0vs[3981.0]|totalAssets:disagree:3499.0vs[42808.0]|revenue:anchor_overrode_md(18566.0->45937)|totalAssets:anchor_overrode_md(3499.0->42808)"
1985,50718,6555,,,56983,31990,10.67,4.4,,revenue=worldwide consolidated revenue; netIncome=net earnings; epsDiluted=primary EPS,netIncome:disagree:6555.0vs[3450.0]|totalAssets:anchor_overrode_md(52634.0->56983)
1986,52160,4789,,,63020,34374,7.81,4.4,,revenue=worldwide consolidated revenue; netIncome=net earnings,totalAssets:anchor_overrode_md(57814.0->63020)
1987,55256,5258,,,70029,38263,8.72,4.4,,revenue=worldwide consolidated revenue; netIncome=net earnings,totalAssets:disagree:63688.0vs[8567.0]|totalAssets:anchor_overrode_md(63688.0->70029)
1988,59681,5806,,,73037,39509,9.8,4.4,387112.0,revenue=worldwide consolidated revenue; netIncome=net earnings incl. +315 cumulative accounting change,"netIncome:disagree:5806.0vs[5741.0]|totalAssets:disagree:73037.0vs[63020.0]|stockholdersEquity:disagree:39509.0vs[39293.0, 34374.0]"
1989,62710,3758,,,77734,38509,6.47,4.73,,revenue=worldwide consolidated revenue; netIncome=net earnings,netIncome:disagree:3722.0vs[3758.0]|totalAssets:disagree:77734.0vs[70029.0]
