year	pages	chars/pg	MB	layer	relpath
1912	16	1059	6.8	TEXT	1912 - 1919\IBM_Annual-Reports_1912-03-31.pdf
1912	9	688	3.8	TEXT	1912 - 1919\IBM_Annual-Reports_1912-12-31.pdf
1913	11	776	4.4	TEXT	1912 - 1919\IBM_Annual-Reports_1913.pdf
1914	11	712	6.1	TEXT	1912 - 1919\IBM_Annual-Reports_1914.pdf
1915	9	862	4.1	TEXT	1912 - 1919\IBM_Annual-Reports_1915.pdf
1916	11	880	5.0	TEXT	1912 - 1919\IBM_Annual-Reports_1916.pdf
1917	11	954	5.1	TEXT	1912 - 1919\IBM_Annual-Reports_1917.pdf
1918	11	968	5.3	TEXT	1912 - 1919\IBM_Annual-Reports_1918.pdf
1919	11	786	5.0	TEXT	1912 - 1919\IBM_Annual-Reports_1919.pdf
1920	11	964	5.6	TEXT	1920 - 1929\IBM_Annual-Reports_1920.pdf
1921	11	869	5.2	TEXT	1920 - 1929\IBM_Annual-Reports_1921.pdf
1922	11	874	5.3	TEXT	1920 - 1929\IBM_Annual-Reports_1922.pdf
1923	11	1102	8.3	TEXT	1920 - 1929\IBM_Annual-Reports_1923.pdf
1924	11	776	7.5	TEXT	1920 - 1929\IBM_Annual-Reports_1924.pdf
1925	11	837	7.6	TEXT	1920 - 1929\IBM_Annual-Reports_1925.pdf
1926	11	917	8.4	TEXT	1920 - 1929\IBM_Annual-Reports_1926.pdf
1927	11	830	5.4	TEXT	1920 - 1929\IBM_Annual-Reports_1927.pdf
1928	11	951	5.6	TEXT	1920 - 1929\IBM_Annual-Reports_1928.pdf
1929	11	894	5.6	TEXT	1920 - 1929\IBM_Annual-Reports_1929.pdf
1930	11	908	6.8	TEXT	1930 -1939\IBM_Annual-Reports_1930.pdf
1931	11	1013	6.8	TEXT	1930 -1939\IBM_Annual-Reports_1931.pdf
1932	11	1019	5.5	TEXT	1930 -1939\IBM_Annual-Reports_1932.pdf
1933	13	1126	8.7	TEXT	1930 -1939\IBM_Annual-Reports_1933.pdf
1934	13	908	8.0	TEXT	1930 -1939\IBM_Annual-Reports_1934.pdf
1935	13	912	8.2	TEXT	1930 -1939\IBM_Annual-Reports_1935.pdf
