key	year	tag	status	md_chars	n_tables	name
1911	1911	primary	skip	0	0	IBM_Annual-Reports_1912-03-31.pdf
1912	1912	primary	skip	0	0	IBM_Annual-Reports_1912-12-31.pdf
1913	1913	primary	skip	0	0	IBM_Annual-Reports_1913.pdf
1914	1914	primary	skip	0	0	IBM_Annual-Reports_1914.pdf
1915	1915	primary	skip	0	0	IBM_Annual-Reports_1915.pdf
1916	1916	primary	skip	0	0	IBM_Annual-Reports_1916.pdf
1917	1917	primary	skip	0	0	IBM_Annual-Reports_1917.pdf
1918	1918	primary	skip	0	0	IBM_Annual-Reports_1918.pdf
1919	1919	primary	skip	0	0	IBM_Annual-Reports_1919.pdf
1920	1920	primary	skip	0	0	IBM_Annual-Reports_1920.pdf
1921	1921	primary	skip	0	0	IBM_Annual-Reports_1921.pdf
1922	1922	primary	skip	0	0	IBM_Annual-Reports_1922.pdf
1923	1923	primary	skip	0	0	IBM_Annual-Reports_1923.pdf
1924	1924	primary	skip	0	0	IBM_Annual-Reports_1924.pdf
1925	1925	primary	skip	0	0	IBM_Annual-Reports_1925.pdf
1926	1926	primary	skip	0	0	IBM_Annual-Reports_1926.pdf
1927	1927	primary	skip	0	0	IBM_Annual-Reports_1927.pdf
1928	1928	primary	skip	0	0	IBM_Annual-Reports_1928.pdf
1929	1929	primary	skip	0	0	IBM_Annual-Reports_1929.pdf
1930	1930	primary	skip	0	0	IBM_Annual-Reports_1930.pdf
1931	1931	primary	skip	0	0	IBM_Annual-Reports_1931.pdf
1932	1932	primary	skip	0	0	IBM_Annual-Reports_1932.pdf
1933	1933	primary	skip	0	0	IBM_Annual-Reports_1933.pdf
1934	1934	primary	skip	0	0	IBM_Annual-Reports_1934.pdf
1935	1935	primary	skip	0	0	IBM_Annual-Reports_1935.pdf
1936	1936	primary	skip	0	0	IBM_Annual-Reports_1936.pdf
1937	1937	primary	skip	0	0	IBM_Annual-Reports_1937.pdf
1938	1938	primary	skip	0	0	IBM_Annual-Reports_1938.pdf
1939	1939	primary	skip	0	0	IBM_Annual-Reports_1939.pdf
1940	1940	primary	skip	0	0	IBM_Annual-Reports_1940.pdf
1941	1941	primary	skip	0	0	IBM_Annual-Reports_1941.pdf
1942	1942	primary	skip	0	0	IBM_Annual-Reports_1942.pdf
1943	1943	primary	skip	0	0	IBM_Annual-Reports_1943.pdf
1944	1944	primary	skip	0	0	IBM_Annual-Reports_1944.pdf
1945	1945	primary	skip	0	0	IBM_Annual-Reports_1945.pdf
1946	1946	primary	skip	0	0	IBM_Annual-Reports_1946.pdf
1947	1947	primary	skip	0	0	IBM_Annual-Reports_1947.pdf
1948	1948	primary	skip	0	0	IBM_Annual-Reports_1948.pdf
1949	1949	primary	skip	0	0	IBM_Annual-Reports_1949.pdf
1950	1950	primary	skip	0	0	IBM_Annual-Reports_1950.pdf
1951	1951	primary	skip	0	0	IBM_Annual-Reports_1951.pdf
1952	1952	primary	skip	0	0	IBM_Annual-Reports_1952.pdf
1953	1953	primary	skip	0	0	IBM_Annual-Reports_1953.pdf
1954	1954	primary	skip	0	0	IBM_Annual-Reports_1954.pdf
1955	1955	primary	skip	0	0	IBM_Annual-Reports_1955.pdf
1956	1956	primary	skip	0	0	IBM_Annual-Reports_1956.pdf
1957	1957	primary	skip	0	0	IBM_Annual-Reports_1957.pdf
1958	1958	primary	skip	0	0	IBM_Annual-Reports_1958.pdf
1959	1959	primary	skip	0	0	IBM_Annual-Reports_1959.pdf
1960	1960	primary	skip	0	0	IBM_Annual-Reports_1960.pdf
1961	1961	primary	skip	0	0	IBM_Annual-Reports_1961.pdf
1962	1962	primary	skip	0	0	IBM_Annual-Reports_1962.pdf
1963	1963	primary	skip	0	0	IBM_Annual-Reports_1963.pdf
1964	1964	primary	skip	0	0	IBM_Annual-Reports_1964.pdf
1965	1965	primary	skip	0	0	IBM_Annual-Reports_1965.pdf
1966	1966	primary	skip	0	0	IBM_Annual-Reports_1966.pdf
1967	1967	primary	skip	0	0	IBM_Annual-Reports_1967.pdf
1968	1968	primary	skip	0	0	IBM_Annual-Reports_1968.pdf
1969	1969	primary	skip	0	0	IBM_Annual-Reports_1969.pdf
1970	1970	primary	skip	0	0	IBM_Annual-Reports_1970.pdf
1971	1971	primary	skip	0	0	IBM_Annual-Reports_1971.pdf
1972	1972	primary	skip	0	0	IBM_Annual-Reports_1972.pdf
1973	1973	primary	skip	0	0	IBM_Annual-Reports_1973.pdf
1974	1974	primary	skip	0	0	IBM_Annual-Reports_1974.pdf
1975	1975	primary	skip	0	0	IBM_Annual-Reports_1975.pdf
1976	1976	primary	skip	0	0	IBM_Annual-Reports_1976.pdf
1977	1977	primary	skip	0	0	IBM_Annual-Reports_1977.pdf
1978	1978	primary	skip	0	0	IBM_Annual-Reports_1978.pdf
1979	1979	primary	skip	0	0	IBM_Annual-Reports_1979.pdf
1980	1980	primary	skip	0	0	IBM_Annual-Reports_1980.pdf
1981	1981	primary	skip	0	0	IBM_Annual-Reports_1981.pdf
1982	1982	primary	skip	0	0	IBM_Annual-Reports_1982.pdf
1983	1983	primary	skip	0	0	IBM_Annual-Reports_1983.pdf
1984_alt	1984	alt	skip	0	0	IBM_Annual-Reports_1984old.pdf
1984	1984	primary	skip	0	0	IBM_Annual-Reports_1984.pdf
1985	1985	primary	skip	0	0	IBM_Annual-Reports_1985.pdf
1986	1986	primary	skip	0	0	IBM_Annual-Reports_1986.pdf
1987	1987	primary	skip	0	0	IBM_Annual-Reports_1987.pdf
1988	1988	primary	skip	0	0	IBM_Annual-Reports_1988.pdf
1989	1989	primary	skip	0	0	IBM_Annual-Reports_1989.pdf
1990	1990	primary	skip	0	0	IBM_Annual-Reports_1990.pdf
1991	1991	primary	skip	0	0	IBM_Annual-Reports_1991.pdf
1992	1992	primary	skip	0	0	IBM_Annual-Reports_1992.pdf
1993	1993	primary	skip	0	0	IBM_Annual-Reports_1993.pdf
1994	1994	primary	skip	0	0	IBM_Annual-Reports_1994.pdf
1995	1995	primary	skip	0	0	IBM_Annual-Reports_1995.pdf
1996	1996	primary	skip	0	0	IBM_Annual-Reports_1996.pdf
1997	1997	primary	skip	0	0	ibm1997.pdf
1998	1998	primary	skip	0	0	ibm1998.pdf
1999	1999	primary	skip	0	0	ibm1999.pdf
2000	2000	primary	skip	0	0	00  2000_IBM_AR.pdf
2001	2001	primary	skip	0	0	01 ibm2001.pdf
2002	2002	primary	skip	0	0	02  2002_ibm_ar.pdf
2003	2003	primary	skip	0	0	03 2003_ibm_ar.pdf
2004	2004	primary	skip	0	0	04 2004_ibm_annual.pdf
2005	2005	primary	skip	0	0	05 2005_ibm_annual.pdf
2006	2006	primary	skip	0	0	06 2006_ibm_annual.pdf
2007	2007	primary	skip	0	0	07 2007_ibm_annual.pdf
2008	2008	primary	skip	0	0	08 2008_ibm_annual.pdf
2009	2009	primary	skip	0	0	09 2009_ibm_annual.pdf
2010	2010	primary	skip	0	0	10 2010_ibm_annual.pdf
2011	2011	primary	skip	0	0	11 2011_ibm_annual.pdf
2012	2012	primary	skip	0	0	12 2012_ibm_annual.pdf
2013	2013	primary	skip	0	0	13 2013_ibm_annual.pdf
2014	2014	primary	skip	0	0	14 IBM-Annual-Report-2014.pdf
2015	2015	primary	skip	0	0	15 IBM-Annual-Report-2015.pdf
2016	2016	primary	skip	0	0	16 IBM-Annual-Report-2016.pdf
2017	2017	primary	skip	0	0	17 IBM_Annual_Report_2017.pdf
2018	2018	primary	ok	642847	5	18 IBM_Annual_Report_2018.pdf
2019	2019	primary	ok	592178	4	19 IBM_Annual_Report_2019.pdf
2020	2020	primary	ok	597823	10	20 IBM_Annual_Report_2020.pdf
2021	2021	primary	ok	594679	8	21 IBM_Annual_Report_2021.pdf
